"candidate_id","rank","score","reasoning"
"CAND_0086022",1,0.794315,"Sarvam AI veteran with 5.3 years of experience, this expert in vector search and ranking systems is an immediate priority, though they require relocation from Kolkata."
"CAND_0081846",2,0.788767,"Razorpay's Lead AI Engineer brings 6.7 years of expertise in hybrid retrieval and ranking, though their 30-day notice period requires immediate coordination to secure this founding hire."
"CAND_0071974",3,0.772372,"7.8-year Senior AI Engineer at Netflix with Speech Recognition background and a 87/100 LoRA platform assessment; ranked #3 because unwillingness to relocate from Vizag, Andhra Pradesh is a practical concern for this founding-team role."
"CAND_0008425",4,0.760185,"7.8-year Senior NLP Engineer at Ola with TensorFlow background and a 78/100 Learning to Rank platform assessment; ranked #4 because unwillingness to relocate from Kolkata, West Bengal is a practical concern for this founding-team role."
"CAND_0068811",5,0.758071,"Freshworks veteran with 8.0 years of experience, this expert in Pinecone and vector-based retrieval is a priority hire, though we must navigate their 30-day notice period."
"CAND_0005260",6,0.757627,"Netflix-proven expertise in sub-200ms LLM deployment and RAG architecture makes this 5.2-year veteran an ideal hire, despite the logistical hurdle of a 60-day notice period."
"CAND_0006567",7,0.75716,"Meta engineer with 7.9 years of experience, this expert in ranking systems and LLM fine-tuning is a priority hire, despite a 60-day notice period requiring logistical planning."
"CAND_0018499",8,0.756544,"7.2-year Senior Machine Learning Engineer at Zomato with scikit-learn background and a 94/100 Deep Learning platform assessment; ranked #8 because further verification of production deployment depth would strengthen their case."
"CAND_0041669",9,0.752251,"8.0-year Recommendation Systems Engineer at CRED with Weaviate background and a 84/100 FAISS platform assessment; ranked #9 because unwillingness to relocate from Noida, Uttar Pradesh is a practical concern for this founding-team role."
"CAND_0061257",10,0.75205,"LinkedIn Staff MLE with 8.0 years of experience, this expert in indexing algorithms and ranking systems is a priority hire, despite the 30-day notice period constraint."
"CAND_0094759",11,0.750871,"Meta-proven expertise in production retrieval and Weaviate makes this 8.6-year veteran ideal, though their lower objective assessment in Learning to Rank suggests a potential gap in advanced modeling."
"CAND_0011687",12,0.749974,"Niramai veteran with 7.8 years of experience, this engineer excels in production retrieval and Pinecone-based ranking, though their refusal to relocate limits our current founding team requirements."
"CAND_0046064",13,0.749895,"8.9-year Senior NLP Engineer at Salesforce with Deep Learning background and a 64/100 Python platform assessment; ranked #13 because unwillingness to relocate from Coimbatore, Tamil Nadu is a practical concern for this founding-team role."
"CAND_0037980",14,0.74951,"9.0-year Senior Applied Scientist at Niramai with Text Encoders background and a 74/100 LoRA platform assessment; ranked #14 because further verification of production deployment depth would strengthen their case."
"CAND_0064326",15,0.747952,"Sarvam AI search expertise and 7.6 years of production ranking experience make them ideal, though their 45-day notice period limits immediate availability for our founding team."
"CAND_0002025",16,0.746014,"5.9-year Senior AI Engineer at Apple with Deep Learning background; ranked #16 because unwillingness to relocate from Trivandrum, Kerala is a practical concern for this founding-team role."
"CAND_0077337",17,0.745121,"7.0-year Staff Machine Learning Engineer at Paytm with LlamaIndex background and a 63/100 Semantic Search platform assessment; ranked #17 because further verification of production deployment depth would strengthen their case."
"CAND_0042029",18,0.743313,"Flipkart veteran with 6.5 years of experience, this engineer excels in production retrieval and FAISS, though their low verified PyTorch proficiency limits their immediate technical versatility."
"CAND_0028793",19,0.742167,"Google search experience with FAISS and vector retrieval makes this 7.2-year veteran ideal for our stack, though their 120-day notice period presents a significant hiring hurdle."
"CAND_0027691",20,0.742146,"6.5-year NLP Engineer at Haptik with Recommendation Systems background and a 87/100 LoRA platform assessment; ranked #20 because unwillingness to relocate from Pune, Maharashtra is a practical concern for this founding-team role."
"CAND_0079387",21,0.741003,"6.9-year AI Engineer at Microsoft with Haystack background and a 86/100 Sentence Transformers platform assessment; ranked #21 because unwillingness to relocate from Trivandrum, Kerala is a practical concern for this founding-team role."
"CAND_0055905",22,0.73996,"Flipkart veteran with 8.1 years of experience, this engineer excels at production hybrid retrieval and LLM fine-tuning, though their lack of GitHub activity limits technical verification."
"CAND_0099806",23,0.739673,"4.6-year AI Engineer at Mad Street Den with Qdrant background and a 69/100 LoRA platform assessment; ranked #23 because further verification of production deployment depth would strengthen their case."
"CAND_0018549",24,0.738089,"This engineer brings 6.8 years of experience building production retrieval systems at Uber, though their lower assessment score in LangChain raises concerns regarding modern LLM application development."
"CAND_0030468",25,0.737623,"Swiggy experience provides excellent expertise in ranking systems and OpenSearch, yet this 5.4-year veteran lacks evidence of modern LLM fine-tuning required for our founding team."
"CAND_0066999",26,0.735939,"Microsoft experience in ranking systems and 5.9 years of expertise in Pinecone make them ideal for retrieval, though their FAISS proficiency remains below our senior-level expectations."
"CAND_0096142",27,0.735105,"Proven expertise in production ranking and Weaviate at upGrad makes this 5.0-year engineer ideal, though their 120-day notice period presents a significant barrier to immediate hiring."
"CAND_0006418",28,0.735091,"Verloop.io experience with Qdrant and embeddings makes this 5.7-year engineer ideal for production retrieval, though their 60-day notice period limits immediate availability for our founding team."
"CAND_0005538",29,0.733805,"5.9-year Senior AI Engineer at Adobe with Information Retrieval Systems background and a 93/100 Embeddings platform assessment; ranked #29 because unwillingness to relocate from Kolkata, West Bengal is a practical concern for this founding-team role."
"CAND_0052328",30,0.731035,"Amazon-based engineer with 6.5 years of experience, this candidate excels in vector search and RAG pipelines, though their limited OpenSearch proficiency poses a risk for production-scale retrieval."
"CAND_0075249",31,0.730282,"Zomato veteran with 6.2 years of experience, this expert in Milvus and vector retrieval excels at production ranking, though limited by a lack of relocation flexibility."
"CAND_0088025",32,0.729845,"8.6-year Staff Machine Learning Engineer at Yellow.ai with Elasticsearch background and a 94/100 Pinecone platform assessment; ranked #32 because unwillingness to relocate from Jaipur, Rajasthan is a practical concern for this founding-team role."
"CAND_0041610",33,0.728304,"Zoho veteran with 6.7 years of experience, this engineer excels in production ranking and pgvector implementation, though their LoRA proficiency remains below our senior founding team benchmark."
"CAND_0091909",34,0.728031,"Rephrase.ai veteran with 6.9 years of experience, this engineer excels in production retrieval and Qdrant, though their limited GitHub activity suggests a lack of open-source community engagement."
"CAND_0042100",35,0.727998,"Freshworks veteran with 7.3 years of experience, this engineer excels at production ranking systems, though their limited GitHub activity suggests a need for more open-source engineering visibility."
"CAND_0044855",36,0.726498,"Flipkart veteran with 6.6 years of experience, this engineer excels in production Pinecone and embedding pipelines, though their Learning to Rank assessment performance remains a notable limitation."
"CAND_0046525",37,0.725824,"Proven expertise in production retrieval and FAISS at LinkedIn makes this 6.1-year veteran a standout, though their 60-day notice period limits immediate impact for our founding team."
"CAND_0036437",38,0.725482,"Proven expertise in scaling ranking systems at Rephrase.ai and Nykaa makes this 4.8-year veteran a standout, though limited GitHub activity suggests a need for deeper open-source contributions."
"CAND_0080766",39,0.72513,"8.8-year Staff Machine Learning Engineer at Salesforce with OpenSearch background and a 84/100 Weaviate platform assessment; ranked #39 because they are currently a passive candidate, requiring proactive outreach."
"CAND_0060054",40,0.725096,"6.4-year AI Engineer at Mad Street Den with TensorFlow background and a 90/100 TensorFlow platform assessment; ranked #40 because they are currently a passive candidate, requiring proactive outreach."
"CAND_0050454",41,0.723871,"6.8-year AI Engineer at Rephrase.ai with Qdrant background and a 59/100 PyTorch platform assessment; ranked #41 because further verification of production deployment depth would strengthen their case."
"CAND_0039383",42,0.723576,"7.1-year Applied ML Engineer at Meesho with NLP background and a 86/100 Hugging Face Transformers platform assessment; ranked #42 because a 90-day notice period exceeds the preferred threshold for an immediate founding-team hire."
"CAND_0062247",43,0.723552,"Google-tenured engineer with 7.3 years of experience, this expert in FAISS and vector search excels at production retrieval, though lacks evidence of large-scale LLM fine-tuning experience."
"CAND_0083879",44,0.722438,"7.1-year Machine Learning Engineer at Ola with Hugging Face Transformers background and a 63/100 Fine-tuning LLMs platform assessment; ranked #44 because unwillingness to relocate from Noida, Uttar Pradesh is a practical concern for this founding-team role."
"CAND_0081053",45,0.722196,"5.4-year NLP Engineer at Glance with Machine Learning background and a 89/100 QLoRA platform assessment; ranked #45 because a 90-day notice period exceeds the preferred threshold for an immediate founding-team hire."
"CAND_0058688",46,0.721575,"Apple's former recommendation engineer brings 6.7 years of expertise in ranking systems, though their limited public GitHub activity suggests less hands-on experience with modern vector database architectures."
"CAND_0033861",47,0.721159,"Deep expertise in Milvus and hybrid retrieval at Sarvam AI makes this engineer a standout for our 8.0 years of production-scale ranking, though their inability to relocate limits flexibility."
"CAND_0045250",48,0.720378,"Rephrase.ai veteran with 6.6 years of experience, this engineer excels at production embedding-based retrieval, though their Milvus proficiency trails the technical depth required for our top-tier ranking."
"CAND_0098846",49,0.72035,"7.6-year AI Engineer at upGrad with Recommendation Systems background; ranked #49 because further verification of production deployment depth would strengthen their case."
"CAND_0053591",50,0.720193,"Ola's AI engineer brings 5.3 years of expertise in production-grade FAISS and embedding pipelines, though their 60-day notice period limits immediate impact for our founding team."
"CAND_0024466",51,0.719905,"PharmEasy search expertise and 5.2 years of experience make them excellent at production retrieval, though their 120-day notice period limits immediate impact for our founding team."
"CAND_0000031",52,0.718808,"6.0-year Recommendation Systems Engineer at Swiggy with MLflow background and a 75/100 MLflow platform assessment; ranked #52 because further verification of production deployment depth would strengthen their case."
"CAND_0061265",53,0.717841,"Zoho veteran with 6.6 years of experience, this engineer excels in production embedding-based retrieval, though their 120-day notice period limits immediate impact for our founding team."
"CAND_0040117",54,0.717618,"PhonePe veteran with 6.5 years of experience, this engineer excels at production retrieval and ranking, though their lower assessment score in embeddings limits their top-tier placement."
"CAND_0093912",55,0.715734,"Razorpay veteran with 5.3 years of experience, this engineer excels at production retrieval and Milvus-based vector search, though their refusal to relocate limits their fit for our team."
"CAND_0087630",56,0.71468,"Vedantu's veteran with 7.2 years of experience excels in production retrieval and pgvector, though their limited GitHub activity suggests a lack of open-source contributions for founding-level roles."
"CAND_0006557",57,0.714113,"7.9-year NLP Engineer at Paytm with Qdrant background and a 76/100 Elasticsearch platform assessment; ranked #57 because a 120-day notice period exceeds the preferred threshold for an immediate founding-team hire."
"CAND_0066376",58,0.713797,"Dream11's recommendation systems expert brings 5.7 years of production retrieval and FAISS experience, though their 90-day notice period limits immediate integration into our fast-paced founding team."
"CAND_0010257",59,0.712741,"Google veteran with 6.5 years of experience, this expert in Milvus and embedding-based retrieval excels at production systems, though their 120-day notice period limits immediate hiring flexibility."
"CAND_0075574",60,0.71169,"Haptik's ranking lead brings 5.7 years of production retrieval and vector DB expertise, though their limited experience with large-scale LLM fine-tuning keeps them outside our top tier."
"CAND_0009024",61,0.711419,"Google Search experience and expertise in embedding-based retrieval make this 5.2-year veteran a standout, though their lack of relocation flexibility limits their fit for our founding team."
"CAND_0017960",62,0.711412,"7.7-year Recommendation Systems Engineer at Nykaa with Python background; ranked #62 because domain depth on production retrieval systems is not fully demonstrated in the profile."
"CAND_0019480",63,0.709943,"2.8-year NLP Engineer at Meesho with TensorFlow background and a 76/100 LLMs platform assessment; ranked #63 because a 90-day notice period exceeds the preferred threshold for an immediate founding-team hire."
"CAND_0044222",64,0.709532,"PolicyBazaar's embedding-based retrieval lead brings 7.7 years of production expertise, though their lower proficiency in vector search fundamentals suggests a potential gap for our core infrastructure needs."
"CAND_0057563",65,0.70917,"Locobuzz experience proves your expertise in production ranking and FAISS, yet your limited GitHub activity suggests a potential gap in open-source contributions for this founding role."
"CAND_0069905",66,0.7087,"Sarvam AI experience with FAISS and embedding-based retrieval highlights their 6.6 years of expertise, though their 90-day notice period limits immediate impact for a founding team role."
"CAND_0042506",67,0.708054,"4.2-year Search Engineer at Verloop.io with NLP background and a 84/100 OpenCV platform assessment; ranked #67 because unwillingness to relocate from Mumbai, Maharashtra is a practical concern for this founding-team role."
"CAND_0086151",68,0.707769,"7.7-year Recommendation Systems Engineer at Wysa with LangChain background and a 84/100 Recommendation Systems platform assessment; ranked #68 because a 120-day notice period exceeds the preferred threshold for an immediate founding-team hire."
"CAND_0093193",69,0.707143,"7.9-year Senior Machine Learning Engineer at Niramai with Qdrant background and a 87/100 Learning to Rank platform assessment; ranked #69 because unwillingness to relocate from Bangalore, Karnataka is a practical concern for this founding-team role."
"CAND_0037944",70,0.707114,"4.9-year Senior Data Scientist at Vedantu with ASR background and a 92/100 Vector Search platform assessment; ranked #70 because unwillingness to relocate from Jaipur, Rajasthan is a practical concern for this founding-team role."
"CAND_0052682",71,0.707073,"Aganitha's NLP lead brings 6.6 years of expertise in production embeddings and Pinecone, though their lower platform assessment in semantic search suggests a gap in advanced retrieval."
"CAND_0030953",72,0.70555,"7.8-year Search Engineer at Nykaa with Learning to Rank background and a 85/100 Learning to Rank platform assessment; ranked #72 because unwillingness to relocate from Chennai, Tamil Nadu is a practical concern for this founding-team role."
"CAND_0065878",73,0.705176,"7.8-year Senior Data Scientist at Niramai with Recommendation Systems background and a 71/100 scikit-learn platform assessment; ranked #73 because unwillingness to relocate from Trivandrum, Kerala is a practical concern for this founding-team role."
"CAND_0005649",74,0.702103,"Sarvam AI's semantic search work demonstrates 7.4 years of expertise in FAISS and retrieval, though the 90-day notice period limits immediate impact for our founding team."
"CAND_0049896",75,0.70004,"7.3-year Search Engineer at Unacademy with Information Retrieval background; ranked #75 because a 90-day notice period exceeds the preferred threshold for an immediate founding-team hire."
"CAND_0018722",76,0.699989,"Saarthi.ai's embedding-based retrieval work highlights this engineer's 6.6 years of production expertise, though a 90-day notice period limits their immediate availability for our founding team."
"CAND_0068351",77,0.699374,"Sarvam AI's lead engineer brings 6.4 years of expertise in Qdrant and ranking systems, though their lack of public GitHub activity limits visibility into their production-scale coding depth."
"CAND_0076251",78,0.699217,"Haptik's search engineer brings 7.6 years of expertise in embedding-based retrieval, though their limited public GitHub activity makes evaluating their depth in complex production-scale system architecture difficult."
"CAND_0011432",79,0.698936,"Krutrim experience with Pinecone and RAG pipelines highlights this 7.6-year veteran's retrieval expertise, though limited GitHub activity suggests a potential gap in open-source contributions for founding-level roles."
"CAND_0012957",80,0.697395,"Razorpay search engineer with 4.9 years of experience, this expert in embedding-based retrieval demonstrates impressive production impact, though their RAG assessment scores suggest a need for further technical refinement."
"CAND_0079284",81,0.697383,"Google-tenured expertise in ranking models and 4.9 years of experience are impressive, though limited hands-on production experience with vector databases keeps them outside our top tier."
"CAND_0065195",82,0.696472,"CRED's search engineer brings 5.1 years of expertise in Pinecone-based retrieval and evaluation, though their current location in Kolkata limits our requirement for local founding team collaboration."
"CAND_0050876",83,0.693629,"Freshworks experience demonstrates 6.0 years of expertise in production ranking and Qdrant, though their MLOps platform assessment suggests a potential gap in scaling complex deployment infrastructure."
"CAND_0032515",84,0.69174,"PharmEasy experience with ranking models and Milvus proves this 5.1-year veteran's technical depth, though their limited exposure to large-scale LLM fine-tuning keeps them outside our top tier."
"CAND_0047721",85,0.691556,"Microsoft veteran with 7.0 years of experience, this engineer demonstrates deep expertise in Learning to Rank, though their RAG proficiency trails the requirements for our founding team."
"CAND_0043228",86,0.691556,"Zoho veteran with 6.8 years of experience, this engineer demonstrates impressive production retrieval and ranking expertise, though their limited exposure to large-scale LLM fine-tuning impacts their overall positioning."
"CAND_0087364",87,0.691251,"Glance engineering experience and expertise in Milvus and ranking models make this 4.9-year veteran valuable, though limited GitHub activity suggests a lack of recent open-source contributions."
"CAND_0076163",88,0.690669,"6.9-year NLP Engineer at Ola with Python background and a 92/100 BM25 platform assessment; ranked #88 because unwillingness to relocate from Chandigarh, Chandigarh is a practical concern for this founding-team role."
"CAND_0014440",89,0.690618,"CRED's ranking infrastructure work demonstrates 6.4 years of production retrieval expertise, though limited proficiency in diffusion models suggests a narrower focus than our founding team requires."
"CAND_0022812",90,0.690385,"4.5-year Applied ML Engineer at Dream11 with Weaviate background; ranked #90 because they are currently a passive candidate, requiring proactive outreach."
"CAND_0026532",91,0.690336,"Zomato experience with FAISS and embeddings demonstrates solid production retrieval skills over 4.8 years, though limited LoRA proficiency suggests a gap in advanced LLM fine-tuning for our needs."
"CAND_0013613",92,0.68898,"Adobe's semantic search work demonstrates excellent retrieval expertise over 4.7 years, though limited Weaviate assessment results suggest a potential gap in scaling production vector database infrastructure."
"CAND_0061339",93,0.688733,"Rephrase.ai experience proves their expertise in production embedding-based retrieval, though their 4.2 years of experience falls short of the deep architectural seniority required for our founding team."
"CAND_0054123",94,0.688233,"Meta's 4.7 years of production experience in ranking and vector search is impressive, though the candidate's lower proficiency in core Python and pgvector limits their immediate impact."
"CAND_0064904",95,0.687321,"LinkedIn AI Engineer with 4.9 years of experience, this candidate demonstrates impressive production retrieval expertise, though their technical assessment scores in embeddings suggest a gap in theoretical depth."
"CAND_0015528",96,0.687104,"Krutrim's recommendation systems demonstrate the 7.4 years of production retrieval expertise needed, though limited assessment performance in Weaviate and LangChain suggests a gap in core architectural depth."
"CAND_0054394",97,0.687086,"PharmEasy experience with FAISS and semantic search demonstrates solid production retrieval skills, though their 4.1 years of experience lacks the depth required for our founding team's architectural scale."
"CAND_0074225",98,0.686488,"4.3-year Machine Learning Engineer at Unacademy with Machine Learning background and a 89/100 Semantic Search platform assessment; ranked #98 because a 120-day notice period exceeds the preferred threshold for an immediate founding-team hire."
"CAND_0076831",99,0.686024,"Krutrim search engineer with 4.0 years of experience, this candidate demonstrates deep expertise in Milvus and ranking, though their current 90-day notice period limits immediate founding-team availability."
"CAND_0044883",100,0.685842,"Mad Street Den's AI Engineer brings 6.3 years of production retrieval and Pinecone expertise, though their 90-day notice period limits immediate impact for our founding team."
